연도,지역난방_전기생산량,산업단지_전기생산량,병행_전기생산량,지역난방_전기판매량,산업단지_전기판매량,병행_전기판매량,국내_사업자_총_발전량,집단에너지_사업자_생산비율
1995,,,,96,3747,,183106,
1996,,,,97,4145,,203786,
1997,,,,313,4563,,222379,
1998,535,6946,,469,6529,,211910,3.53
1999,622,8896,,556,8934,,234659,4.06
2000,1542,9906,,1451,10656,,261678,4.37
2001,3480,9921,,3364,10343,,281078,4.77
2002,4427,9757,,4259,10092,,302033,4.7
2003,4626,14438,,4339,13480,,317572,6
2004,4361,13541,,4070,12651,,341702,5.24
2005,4442,13041,,4098,11849,,364369,4.8
2006,4127,13117,,3740,12283,,380802,4.53
2007,5219,13637,,4727,12652,,402294,4.69
2008,7841,13862,,7384,12309,,421626,5.15
2009,7264,14965,,6931,14098,,432748,5.14
2010,9373,9184,,9402,11272,,473818,3.92
2011,13917,9632,348,13742,11927,289,496080,4.82
2012,16483,9947,381,16433,11702,310,507480,5.28
2013,17378,7177,464,17369,10004,373,515467,4.85
2014,16063,11941,361,15933,12811,317,521409,5.44
2015,17440,11445,383,17441,11695,308,527515,5.55
2016,20400,13628,5012,20475,14744,4580,540220,7.23
2017,25943,15196,6152,25893,15704,5748,553530,8.54
2018,32264,15398,5962,32170,17563,5529,569848,9.41
2019,30494,15686,6220,30524,16690,5808,561894,9.33
2020,28745,15102,6077,28804,16292,5664,575269,8.68
2021,31817,16106,6026,31803,17485,5593,575786,7.9
